date,month,region,service_type,sla_target,sla_actual,uptime_percentage,downtime_minutes,mttr_minutes,breach_count,availability_score
2026-01-01,2026-01,Denpasar,Enterprise VPN,99.5,99.051,98.893,13.67,144,1,99.143
2026-01-01,2026-01,Denpasar,IPTV,98.5,98.214,98.058,25.72,49,1,98.469
2026-01-01,2026-01,Denpasar,Voice,98.5,98.178,98.006,26.23,191,1,98.397
2026-01-01,2026-01,Denpasar,Cloud Connectivity,99.5,99.142,99.036,12.36,195,1,99.149
2026-01-01,2026-01,Palembang,Fiber Internet,98.5,98.411,98.267,22.88,141,1,98.581
2026-01-01,2026-01,Palembang,Mobile Broadband,98.5,97.868,97.824,30.7,119,1,98.008
2026-01-01,2026-01,Palembang,Enterprise VPN,99.5,98.902,98.755,15.8,98,1,98.916
2026-01-01,2026-01,Palembang,IPTV,98.5,98.437,98.382,22.51,24,1,98.577
2026-01-01,2026-01,Palembang,Voice,98.5,98.424,98.409,22.7,120,1,98.638
2026-01-01,2026-01,Palembang,Cloud Connectivity,99.5,99.414,99.387,8.44,131,1,99.65
2026-01-01,2026-01,Balikpapan,Fiber Internet,98.5,98.477,98.377,21.94,125,1,98.686
2026-01-01,2026-01,Balikpapan,Mobile Broadband,98.5,98.478,98.473,21.91,159,1,98.773
2026-01-01,2026-01,Balikpapan,Enterprise VPN,99.5,99.049,98.937,13.7,167,1,99.131
2026-01-01,2026-01,Balikpapan,IPTV,98.5,98.373,98.311,23.43,150,1,98.384
2026-01-01,2026-01,Balikpapan,Voice,98.5,97.971,97.822,29.22,103,1,98.123
2026-01-01,2026-01,Balikpapan,Cloud Connectivity,99.5,98.931,98.894,15.4,160,1,99.034
2026-01-15,2026-01,Jakarta,Fiber Internet,98.5,98.197,98.035,25.96,158,1,98.332
2026-01-15,2026-01,Jakarta,Mobile Broadband,98.5,98.391,98.22,23.18,105,1,98.588
2026-01-15,2026-01,Jakarta,Enterprise VPN,99.5,99.02,98.928,14.12,106,1,99.193
2026-01-15,2026-01,Jakarta,IPTV,98.5,98.172,98.118,26.32,55,1,98.398
2026-01-15,2026-01,Jakarta,Voice,98.5,98.32,98.282,24.19,177,1,98.451
2026-01-15,2026-01,Jakarta,Cloud Connectivity,99.5,99.264,99.151,10.6,109,1,99.274
2026-01-15,2026-01,Bandung,Fiber Internet,98.5,98.075,98.048,27.72,115,1,98.245
2026-01-15,2026-01,Bandung,Mobile Broadband,98.5,97.452,97.352,36.69,150,1,97.527
2026-01-15,2026-01,Bandung,Enterprise VPN,99.5,98.927,98.921,15.45,122,1,99.094
2026-01-15,2026-01,Bandung,IPTV,98.5,98.139,98.104,26.79,89,1,98.279
2026-01-15,2026-01,Bandung,Voice,98.5,98.047,97.969,28.12,74,1,98.206
2026-01-15,2026-01,Bandung,Cloud Connectivity,99.5,99.149,99.034,12.25,149,1,99.228
2026-01-15,2026-01,Surabaya,Fiber Internet,98.5,98.24,98.208,25.35,93,1,98.447
2026-01-15,2026-01,Surabaya,Mobile Broadband,98.5,98.245,98.227,25.27,165,1,98.328
2026-01-15,2026-01,Surabaya,Enterprise VPN,99.5,99.164,99.078,12.04,73,1,99.391
2026-01-15,2026-01,Surabaya,IPTV,98.5,98.186,98.022,26.13,133,1,98.324
2026-01-15,2026-01,Surabaya,Voice,98.5,98.247,98.217,25.25,70,1,98.261
2026-01-15,2026-01,Surabaya,Cloud Connectivity,99.5,99.164,99.093,12.04,188,1,99.362
2026-01-15,2026-01,Medan,Fiber Internet,98.5,98.33,98.328,24.05,51,1,98.373
2026-01-15,2026-01,Medan,Mobile Broadband,98.5,97.93,97.855,29.8,132,1,98.074
2026-01-15,2026-01,Medan,Enterprise VPN,99.5,98.978,98.949,14.71,141,1,99.211
2026-01-15,2026-01,Medan,IPTV,98.5,98.4,98.234,23.04,62,1,98.451
2026-01-15,2026-01,Medan,Voice,98.5,98.104,97.996,27.3,102,1,98.352
2026-01-15,2026-01,Medan,Cloud Connectivity,99.5,99.48,99.313,7.48,151,1,99.54
2026-01-15,2026-01,Makassar,Fiber Internet,98.5,97.913,97.748,30.05,102,1,98.137
2026-01-15,2026-01,Makassar,Mobile Broadband,98.5,98.005,97.838,28.73,131,1,98.148
2026-01-15,2026-01,Makassar,Enterprise VPN,99.5,99.083,99.049,13.2,228,1,99.359
2026-01-15,2026-01,Makassar,IPTV,98.5,98.018,98.0,28.53,151,1,98.07
2026-01-15,2026-01,Makassar,Voice,98.5,98.224,98.151,25.58,148,1,98.399
2026-01-15,2026-01,Makassar,Cloud Connectivity,99.5,99.225,99.207,11.16,157,1,99.489
2026-01-15,2026-01,Semarang,Fiber Internet,98.5,98.324,98.273,24.13,105,1,98.425
2026-01-15,2026-01,Semarang,Mobile Broadband,98.5,97.614,97.45,34.36,89,1,97.804
2026-01-15,2026-01,Semarang,Enterprise VPN,99.5,98.92,98.859,15.56,164,1,99.2
2026-01-15,2026-01,Semarang,IPTV,98.5,98.082,98.005,27.62,123,1,98.125
2026-01-15,2026-01,Semarang,Voice,98.5,98.06,98.018,27.93,79,1,98.263
2026-01-15,2026-01,Semarang,Cloud Connectivity,99.5,99.422,99.272,8.32,162,1,99.653
2026-01-15,2026-01,Yogyakarta,Fiber Internet,98.5,97.5,97.497,36.0,75,1,97.612
2026-01-15,2026-01,Yogyakarta,Mobile Broadband,98.5,98.361,98.231,23.6,131,1,98.482
2026-01-15,2026-01,Yogyakarta,Enterprise VPN,99.5,98.748,98.656,18.03,145,1,98.872
2026-01-15,2026-01,Yogyakarta,IPTV,98.5,98.355,98.234,23.69,67,1,98.517
2026-01-15,2026-01,Yogyakarta,Voice,98.5,98.41,98.402,22.9,137,1,98.626
2026-01-15,2026-01,Yogyakarta,Cloud Connectivity,99.5,99.33,99.151,9.65,84,1,99.334
2026-01-15,2026-01,Denpasar,Fiber Internet,98.5,97.723,97.641,32.79,159,1,97.963
2026-01-15,2026-01,Denpasar,Mobile Broadband,98.5,97.888,97.793,30.41,76,1,97.907
2026-01-15,2026-01,Denpasar,Enterprise VPN,99.5,98.833,98.68,16.81,97,1,99.072
2026-01-15,2026-01,Denpasar,IPTV,98.5,98.363,98.301,23.57,111,1,98.54
2026-01-15,2026-01,Denpasar,Voice,98.5,98.428,98.285,22.64,71,1,98.44
2026-01-15,2026-01,Denpasar,Cloud Connectivity,99.5,99.272,99.117,10.48,171,1,99.541
2026-01-15,2026-01,Palembang,Fiber Internet,98.5,98.031,97.906,28.36,177,1,98.069
2026-01-15,2026-01,Palembang,Mobile Broadband,98.5,98.115,98.023,27.15,131,1,98.133
2026-01-15,2026-01,Palembang,Enterprise VPN,99.5,99.435,99.26,8.14,48,1,99.576
2026-01-15,2026-01,Palembang,IPTV,98.5,98.459,98.448,22.19,119,1,98.718
2026-01-15,2026-01,Palembang,Voice,98.5,98.199,98.185,25.94,144,1,98.268
2026-01-15,2026-01,Palembang,Cloud Connectivity,99.5,98.91,98.819,15.69,154,1,99.002
2026-01-15,2026-01,Balikpapan,Fiber Internet,98.5,98.399,98.374,23.06,179,1,98.684
2026-01-15,2026-01,Balikpapan,Mobile Broadband,98.5,98.299,98.281,24.5,89,1,98.512
2026-01-15,2026-01,Balikpapan,Enterprise VPN,99.5,99.328,99.162,9.68,113,1,99.395
2026-01-15,2026-01,Balikpapan,IPTV,98.5,97.77,97.699,32.11,146,1,97.776
2026-01-15,2026-01,Balikpapan,Voice,98.5,98.119,98.047,27.09,121,1,98.289
2026-01-15,2026-01,Balikpapan,Cloud Connectivity,99.5,99.024,98.987,14.06,135,1,99.243
2026-02-01,2026-02,Jakarta,Fiber Internet,98.5,98.165,98.131,26.43,137,1,98.431
2026-02-01,2026-02,Jakarta,Mobile Broadband,98.5,98.294,98.118,24.56,166,1,98.495
2026-02-01,2026-02,Jakarta,Enterprise VPN,99.5,99.2,99.038,11.52,90,1,99.339
2026-02-01,2026-02,Jakarta,IPTV,98.5,98.414,98.253,22.84,95,1,98.435
2026-02-01,2026-02,Jakarta,Voice,98.5,98.173,98.055,26.31,119,1,98.281
2026-02-01,2026-02,Jakarta,Cloud Connectivity,99.5,99.418,99.345,8.39,127,1,99.66
2026-02-01,2026-02,Bandung,Fiber Internet,98.5,98.094,98.084,27.45,94,1,98.131
2026-02-01,2026-02,Bandung,Mobile Broadband,98.5,98.105,98.055,27.28,46,1,98.386
2026-02-01,2026-02,Bandung,Enterprise VPN,99.5,99.48,99.448,7.49,45,1,99.665
2026-02-01,2026-02,Bandung,IPTV,98.5,98.037,97.972,28.27,189,1,98.254
2026-02-01,2026-02,Bandung,Voice,98.5,98.301,98.165,24.47,162,1,98.475
2026-02-01,2026-02,Bandung,Cloud Connectivity,99.5,99.457,99.399,7.81,140,1,99.719
2026-02-01,2026-02,Surabaya,Fiber Internet,98.5,98.478,98.45,21.92,137,1,98.484
2026-02-01,2026-02,Surabaya,Mobile Broadband,98.5,98.245,98.097,25.28,134,1,98.266
2026-02-01,2026-02,Surabaya,Enterprise VPN,99.5,99.355,99.26,9.29,152,1,99.575
2026-02-01,2026-02,Surabaya,IPTV,98.5,97.863,97.822,30.77,123,1,97.941
2026-02-01,2026-02,Surabaya,Voice,98.5,98.357,98.3,23.67,170,1,98.632
2026-02-01,2026-02,Surabaya,Cloud Connectivity,99.5,99.34,99.165,9.51,78,1,99.469
2026-02-01,2026-02,Medan,Fiber Internet,98.5,97.56,97.475,35.13,137,1,97.795
2026-02-01,2026-02,Medan,Mobile Broadband,98.5,98.089,97.919,27.52,134,1,98.377
2026-02-01,2026-02,Medan,Enterprise VPN,99.5,99.421,99.342,8.34,162,1,99.65
2026-02-01,2026-02,Medan,IPTV,98.5,97.713,97.679,32.93,91,1,98.008
2026-02-01,2026-02,Medan,Voice,98.5,97.973,97.9,29.18,136,1,98.161
2026-02-01,2026-02,Medan,Cloud Connectivity,99.5,98.96,98.799,14.97,114,1,98.995
2026-02-01,2026-02,Makassar,Fiber Internet,98.5,97.908,97.794,30.13,96,1,98.018
2026-02-01,2026-02,Makassar,Mobile Broadband,98.5,97.796,97.681,31.74,174,1,98.053
2026-02-01,2026-02,Makassar,Enterprise VPN,99.5,98.693,98.689,18.82,140,1,98.709
2026-02-01,2026-02,Makassar,IPTV,98.5,97.675,97.633,33.48,123,1,97.792
2026-02-01,2026-02,Makassar,Voice,98.5,97.934,97.863,29.75,110,1,98.11
2026-02-01,2026-02,Makassar,Cloud Connectivity,99.5,98.853,98.746,16.52,133,1,99.045
2026-02-01,2026-02,Semarang,Fiber Internet,98.5,98.143,98.003,26.74,75,1,98.202
2026-02-01,2026-02,Semarang,Mobile Broadband,98.5,98.495,98.354,21.68,144,1,98.662
2026-02-01,2026-02,Semarang,Enterprise VPN,99.5,98.712,98.651,18.54,204,1,98.986
2026-02-01,2026-02,Semarang,IPTV,98.5,97.982,97.952,29.05,109,1,98.246
2026-02-01,2026-02,Semarang,Voice,98.5,98.102,98.059,27.33,44,1,98.126
2026-02-01,2026-02,Semarang,Cloud Connectivity,99.5,99.338,99.263,9.53,103,1,99.4
2026-02-01,2026-02,Yogyakarta,Fiber Internet,98.5,98.282,98.119,24.74,146,1,98.398
2026-02-01,2026-02,Yogyakarta,Mobile Broadband,98.5,97.991,97.888,28.93,104,1,98.213
2026-02-01,2026-02,Yogyakarta,Enterprise VPN,99.5,98.996,98.887,14.46,116,1,99.157
2026-02-01,2026-02,Yogyakarta,IPTV,98.5,98.252,98.091,25.17,102,1,98.32
2026-02-01,2026-02,Yogyakarta,Voice,98.5,98.494,98.405,21.69,211,1,98.667
2026-02-01,2026-02,Yogyakarta,Cloud Connectivity,99.5,99.369,99.306,9.09,121,1,99.45
2026-02-01,2026-02,Denpasar,Fiber Internet,98.5,98.155,97.98,26.57,173,1,98.417
2026-02-01,2026-02,Denpasar,Mobile Broadband,98.5,98.409,98.345,22.9,170,1,98.616
2026-02-01,2026-02,Denpasar,Enterprise VPN,99.5,99.027,98.87,14.01,83,1,99.056
2026-02-01,2026-02,Denpasar,IPTV,98.5,97.978,97.898,29.12,121,1,98.216
2026-02-01,2026-02,Denpasar,Voice,98.5,97.632,97.607,34.1,150,1,97.85
2026-02-01,2026-02,Denpasar,Cloud Connectivity,99.5,98.902,98.741,15.82,154,1,99.178
2026-02-01,2026-02,Palembang,Fiber Internet,98.5,98.094,98.082,27.44,212,1,98.348
2026-02-01,2026-02,Palembang,Mobile Broadband,98.5,98.251,98.131,25.18,114,1,98.503
2026-02-01,2026-02,Palembang,Enterprise VPN,99.5,99.269,99.184,10.52,167,1,99.415
2026-02-01,2026-02,Palembang,IPTV,98.5,97.905,97.874,30.16,220,1,97.99
2026-02-01,2026-02,Palembang,Voice,98.5,98.463,98.381,22.13,92,1,98.662
2026-02-01,2026-02,Palembang,Cloud Connectivity,99.5,99.263,99.124,10.62,90,1,99.276
2026-02-01,2026-02,Balikpapan,Fiber Internet,98.5,98.398,98.349,23.06,100,1,98.533
2026-02-01,2026-02,Balikpapan,Mobile Broadband,98.5,98.166,98.057,26.41,113,1,98.426
2026-02-01,2026-02,Balikpapan,Enterprise VPN,99.5,99.213,99.145,11.33,165,1,99.341
2026-02-01,2026-02,Balikpapan,IPTV,98.5,98.241,98.175,25.34,72,1,98.434
2026-02-01,2026-02,Balikpapan,Voice,98.5,98.016,97.995,28.57,187,1,98.257
2026-02-01,2026-02,Balikpapan,Cloud Connectivity,99.5,99.385,99.215,8.85,238,1,99.629
2026-02-15,2026-02,Jakarta,Fiber Internet,98.5,98.028,98.015,28.4,127,1,98.148
2026-02-15,2026-02,Jakarta,Mobile Broadband,98.5,98.223,98.055,25.59,142,1,98.501
2026-02-15,2026-02,Jakarta,Enterprise VPN,99.5,99.099,99.076,12.98,123,1,99.338
2026-02-15,2026-02,Jakarta,IPTV,98.5,98.168,98.154,26.38,82,1,98.411
2026-02-15,2026-02,Jakarta,Voice,98.5,98.251,98.136,25.19,131,1,98.446
2026-02-15,2026-02,Jakarta,Cloud Connectivity,99.5,99.262,99.135,10.63,98,1,99.509
2026-02-15,2026-02,Bandung,Fiber Internet,98.5,97.883,97.816,30.48,163,1,98.14
2026-02-15,2026-02,Bandung,Mobile Broadband,98.5,98.091,97.933,27.48,121,1,98.331
2026-02-15,2026-02,Bandung,Enterprise VPN,99.5,98.937,98.783,15.31,109,1,99.19
2026-02-15,2026-02,Bandung,IPTV,98.5,97.944,97.805,29.61,99,1,97.954
2026-02-15,2026-02,Bandung,Voice,98.5,98.186,98.097,26.12,234,1,98.36
2026-02-15,2026-02,Bandung,Cloud Connectivity,99.5,99.218,99.117,11.27,171,1,99.304
2026-02-15,2026-02,Surabaya,Fiber Internet,98.5,97.933,97.833,29.76,191,1,98.019
2026-02-15,2026-02,Surabaya,Mobile Broadband,98.5,98.279,98.15,24.79,65,1,98.336
2026-02-15,2026-02,Surabaya,Enterprise VPN,99.5,98.909,98.797,15.71,161,1,99.034
2026-02-15,2026-02,Surabaya,IPTV,98.5,97.818,97.645,31.43,168,1,98.086
2026-02-15,2026-02,Surabaya,Voice,98.5,98.294,98.282,24.57,118,1,98.428
2026-02-15,2026-02,Surabaya,Cloud Connectivity,99.5,99.14,99.037,12.38,96,1,99.393
2026-02-15,2026-02,Medan,Fiber Internet,98.5,98.224,98.12,25.57,170,1,98.342
2026-02-15,2026-02,Medan,Mobile Broadband,98.5,98.191,98.176,26.06,96,1,98.215
2026-02-15,2026-02,Medan,Enterprise VPN,99.5,99.067,99.061,13.44,149,1,99.31
2026-02-15,2026-02,Medan,IPTV,98.5,97.916,97.846,30.01,166,1,98.193
2026-02-15,2026-02,Medan,Voice,98.5,97.938,97.869,29.7,65,1,97.945
2026-02-15,2026-02,Medan,Cloud Connectivity,99.5,99.205,99.147,11.45,106,1,99.324
2026-02-15,2026-02,Makassar,Fiber Internet,98.5,97.912,97.763,30.07,111,1,97.942
2026-02-15,2026-02,Makassar,Mobile Broadband,98.5,98.162,98.111,26.47,80,1,98.164
2026-02-15,2026-02,Makassar,Enterprise VPN,99.5,99.462,99.321,7.75,47,1,99.524
2026-02-15,2026-02,Makassar,IPTV,98.5,97.95,97.874,29.52,115,1,98.086
2026-02-15,2026-02,Makassar,Voice,98.5,98.214,98.062,25.71,149,1,98.227
2026-02-15,2026-02,Makassar,Cloud Connectivity,99.5,99.11,98.976,12.82,64,1,99.268
2026-02-15,2026-02,Semarang,Fiber Internet,98.5,98.218,98.099,25.66,173,1,98.428
2026-02-15,2026-02,Semarang,Mobile Broadband,98.5,98.069,97.914,27.8,131,1,98.348
2026-02-15,2026-02,Semarang,Enterprise VPN,99.5,99.144,99.099,12.32,79,1,99.198
2026-02-15,2026-02,Semarang,IPTV,98.5,98.102,97.964,27.33,231,1,98.271
2026-02-15,2026-02,Semarang,Voice,98.5,97.672,97.568,33.52,99,1,97.769
2026-02-15,2026-02,Semarang,Cloud Connectivity,99.5,98.734,98.721,18.23,34,1,98.814
2026-02-15,2026-02,Yogyakarta,Fiber Internet,98.5,98.019,97.856,28.53,148,1,98.265
2026-02-15,2026-02,Yogyakarta,Mobile Broadband,98.5,98.207,98.172,25.81,214,1,98.31
2026-02-15,2026-02,Yogyakarta,Enterprise VPN,99.5,99.262,99.17,10.63,89,1,99.456
2026-02-15,2026-02,Yogyakarta,IPTV,98.5,98.383,98.317,23.28,196,1,98.508
2026-02-15,2026-02,Yogyakarta,Voice,98.5,98.15,97.979,26.64,64,1,98.214
2026-02-15,2026-02,Yogyakarta,Cloud Connectivity,99.5,98.966,98.91,14.89,117,1,98.979
2026-02-15,2026-02,Denpasar,Fiber Internet,98.5,98.455,98.434,22.25,137,1,98.752
2026-02-15,2026-02,Denpasar,Mobile Broadband,98.5,98.302,98.174,24.45,80,1,98.403
2026-02-15,2026-02,Denpasar,Enterprise VPN,99.5,99.101,99.067,12.94,116,1,99.185
2026-02-15,2026-02,Denpasar,IPTV,98.5,98.464,98.395,22.11,118,1,98.677
2026-02-15,2026-02,Denpasar,Voice,98.5,98.499,98.413,21.62,76,1,98.746
2026-02-15,2026-02,Denpasar,Cloud Connectivity,99.5,98.928,98.762,15.44,45,1,98.962
2026-02-15,2026-02,Palembang,Fiber Internet,98.5,98.388,98.221,23.22,160,1,98.529
2026-02-15,2026-02,Palembang,Mobile Broadband,98.5,98.397,98.289,23.08,141,1,98.492
2026-02-15,2026-02,Palembang,Enterprise VPN,99.5,98.626,98.509,19.78,129,1,98.642
2026-02-15,2026-02,Palembang,IPTV,98.5,98.222,98.081,25.61,128,1,98.224
2026-02-15,2026-02,Palembang,Voice,98.5,97.665,97.605,33.62,45,1,97.927
2026-02-15,2026-02,Palembang,Cloud Connectivity,99.5,99.172,99.061,11.93,71,1,99.46
2026-02-15,2026-02,Balikpapan,Fiber Internet,98.5,97.745,97.719,32.47,103,1,97.817
2026-02-15,2026-02,Balikpapan,Mobile Broadband,98.5,97.72,97.613,32.83,63,1,98.019
2026-02-15,2026-02,Balikpapan,Enterprise VPN,99.5,99.374,99.323,9.02,111,1,99.474
2026-02-15,2026-02,Balikpapan,IPTV,98.5,97.878,97.877,30.55,180,1,97.914
2026-02-15,2026-02,Balikpapan,Voice,98.5,98.314,98.141,24.28,138,1,98.564
2026-02-15,2026-02,Balikpapan,Cloud Connectivity,99.5,98.758,98.716,17.88,221,1,99.04
2026-03-01,2026-03,Jakarta,Fiber Internet,98.5,97.817,97.769,31.43,118,1,97.93
2026-03-01,2026-03,Jakarta,Mobile Broadband,98.5,98.266,98.235,24.97,106,1,98.49
2026-03-01,2026-03,Jakarta,Enterprise VPN,99.5,99.419,99.298,8.37,162,1,99.612
2026-03-01,2026-03,Jakarta,IPTV,98.5,98.273,98.245,24.87,86,1,98.57
2026-03-01,2026-03,Jakarta,Voice,98.5,98.439,98.314,22.48,148,1,98.665
2026-03-01,2026-03,Jakarta,Cloud Connectivity,99.5,99.485,99.378,7.41,113,1,99.575
2026-03-01,2026-03,Bandung,Fiber Internet,98.5,97.839,97.835,31.12,64,1,97.878
2026-03-01,2026-03,Bandung,Mobile Broadband,98.5,97.999,97.918,28.82,152,1,98.192
2026-03-01,2026-03,Bandung,Enterprise VPN,99.5,99.119,98.985,12.69,139,1,99.27
2026-03-01,2026-03,Bandung,IPTV,98.5,98.401,98.232,23.02,211,1,98.441
2026-03-01,2026-03,Bandung,Voice,98.5,98.181,98.065,26.19,108,1,98.262
2026-03-01,2026-03,Bandung,Cloud Connectivity,99.5,98.958,98.897,15.0,120,1,99.011
2026-03-01,2026-03,Surabaya,Fiber Internet,98.5,98.314,98.287,24.28,68,1,98.362
2026-03-01,2026-03,Surabaya,Mobile Broadband,98.5,98.461,98.324,22.16,87,1,98.744
2026-03-01,2026-03,Surabaya,Enterprise VPN,99.5,99.406,99.397,8.55,104,1,99.582
2026-03-01,2026-03,Surabaya,IPTV,98.5,98.391,98.318,23.17,94,1,98.501
2026-03-01,2026-03,Surabaya,Voice,98.5,98.123,97.954,27.03,115,1,98.227
2026-03-01,2026-03,Surabaya,Cloud Connectivity,99.5,99.137,99.118,12.43,85,1,99.396
2026-03-01,2026-03,Medan,Fiber Internet,98.5,98.415,98.338,22.82,204,1,98.652
2026-03-01,2026-03,Medan,Mobile Broadband,98.5,98.45,98.415,22.32,157,1,98.696
2026-03-01,2026-03,Medan,Enterprise VPN,99.5,98.657,98.629,19.34,183,1,98.673
2026-03-01,2026-03,Medan,IPTV,98.5,98.182,98.046,26.18,96,1,98.219
2026-03-01,2026-03,Medan,Voice,98.5,98.1,98.028,27.36,180,1,98.306
2026-03-01,2026-03,Medan,Cloud Connectivity,99.5,98.969,98.914,14.84,143,1,99.074
2026-03-01,2026-03,Makassar,Fiber Internet,98.5,98.382,98.254,23.29,87,1,98.612
2026-03-01,2026-03,Makassar,Mobile Broadband,98.5,98.11,98.045,27.21,152,1,98.374
2026-03-01,2026-03,Makassar,Enterprise VPN,99.5,99.195,99.156,11.6,103,1,99.269
2026-03-01,2026-03,Makassar,IPTV,98.5,97.883,97.853,30.48,144,1,98.078
2026-03-01,2026-03,Makassar,Voice,98.5,97.569,97.463,35.01,74,1,97.77
2026-03-01,2026-03,Makassar,Cloud Connectivity,99.5,99.28,99.144,10.36,178,1,99.467
2026-03-01,2026-03,Semarang,Fiber Internet,98.5,98.275,98.226,24.84,151,1,98.464
2026-03-01,2026-03,Semarang,Mobile Broadband,98.5,98.032,97.903,28.34,166,1,98.067
2026-03-01,2026-03,Semarang,Enterprise VPN,99.5,98.486,98.427,21.8,181,1,98.652
2026-03-01,2026-03,Semarang,IPTV,98.5,98.024,97.938,28.46,199,1,98.266
2026-03-01,2026-03,Semarang,Voice,98.5,98.013,98.01,28.61,165,1,98.166
2026-03-01,2026-03,Semarang,Cloud Connectivity,99.5,98.985,98.902,14.62,153,1,99.215
2026-03-01,2026-03,Yogyakarta,Fiber Internet,98.5,97.965,97.829,29.3,151,1,98.069
2026-03-01,2026-03,Yogyakarta,Mobile Broadband,98.5,98.47,98.402,22.03,187,1,98.486
2026-03-01,2026-03,Yogyakarta,Enterprise VPN,99.5,99.106,99.0,12.87,164,1,99.394
2026-03-01,2026-03,Yogyakarta,IPTV,98.5,98.102,97.986,27.33,99,1,98.269
2026-03-01,2026-03,Yogyakarta,Voice,98.5,98.164,97.998,26.44,70,1,98.194
2026-03-01,2026-03,Yogyakarta,Cloud Connectivity,99.5,99.41,99.335,8.5,50,1,99.697
