ticket_id,date,month,region,service_type,ticket_category,priority,status,response_time_minutes,resolution_time_minutes,related_incident_id,customer_segment,repeat_complaint,satisfaction_score
TCK-2026-02560,2026-01-05,2026-01,Yogyakarta,IPTV,Enterprise SLA Complaint,Medium,Waiting Customer,84,,INC-2026-02121,Enterprise,false,
TCK-2026-02719,2026-01-05,2026-01,Medan,Voice,Router ONT Issue,Medium,In Progress,89,,,Residential,false,
TCK-2026-02874,2026-01-05,2026-01,Bandung,Mobile Broadband,Enterprise SLA Complaint,Low,Waiting Customer,114,,,Residential,false,
TCK-2026-02927,2026-01-05,2026-01,Surabaya,Mobile Broadband,Installation Delay,Medium,Closed,94,619,INC-2026-01055,SMB,false,5
TCK-2026-03020,2026-01-05,2026-01,Jakarta,Voice,Intermittent Connection,High,Resolved,32,165,,Residential,false,3.0
TCK-2026-03523,2026-01-05,2026-01,Denpasar,Mobile Broadband,Installation Delay,Medium,Closed,65,614,,Enterprise,false,4.3
TCK-2026-03647,2026-01-05,2026-01,Palembang,Enterprise VPN,Internet Down,High,Open,58,,INC-2026-02197,SMB,false,
TCK-2026-03763,2026-01-05,2026-01,Semarang,IPTV,Slow Connection,High,In Progress,31,,,Enterprise,false,
TCK-2026-03880,2026-01-05,2026-01,Semarang,Fiber Internet,Router ONT Issue,High,Resolved,60,229,,SMB,false,3.3
TCK-2026-03942,2026-01-05,2026-01,Bandung,Mobile Broadband,Slow Connection,Low,Resolved,139,959,,Residential,false,4.2
TCK-2026-04143,2026-01-05,2026-01,Surabaya,Mobile Broadband,Billing Related,Low,Resolved,90,1004,INC-2026-01055,SMB,true,3.2
TCK-2026-00060,2026-01-06,2026-01,Bandung,Voice,Billing Related,Medium,Resolved,87,559,,Residential,false,4.3
TCK-2026-00976,2026-01-06,2026-01,Semarang,Mobile Broadband,Router ONT Issue,Low,In Progress,127,,INC-2026-00573,Residential,false,
TCK-2026-01530,2026-01-06,2026-01,Medan,Cloud Connectivity,Intermittent Connection,High,Resolved,29,329,,Residential,false,4.5
TCK-2026-02004,2026-01-06,2026-01,Medan,Mobile Broadband,Installation Delay,Low,Resolved,109,944,,Residential,false,4.6
TCK-2026-02390,2026-01-06,2026-01,Palembang,Fiber Internet,Intermittent Connection,Medium,Resolved,68,522,INC-2026-00825,Residential,false,4.3
TCK-2026-02769,2026-01-06,2026-01,Palembang,Enterprise VPN,Router ONT Issue,High,Resolved,36,101,,SMB,true,2.7
TCK-2026-03016,2026-01-06,2026-01,Semarang,Mobile Broadband,Router ONT Issue,Low,Closed,123,887,INC-2026-00573,Residential,false,4.6
TCK-2026-03190,2026-01-06,2026-01,Balikpapan,IPTV,Router ONT Issue,High,In Progress,30,,,Residential,false,
TCK-2026-03465,2026-01-06,2026-01,Palembang,Voice,Installation Delay,Low,Resolved,116,610,,Enterprise,false,3.3
TCK-2026-03588,2026-01-06,2026-01,Yogyakarta,Mobile Broadband,Internet Down,Low,In Progress,120,,,Residential,false,
TCK-2026-03741,2026-01-06,2026-01,Semarang,Mobile Broadband,Billing Related,Medium,Open,114,,INC-2026-00573,Public Sector,false,
TCK-2026-04565,2026-01-06,2026-01,Surabaya,IPTV,Enterprise SLA Complaint,Low,Closed,114,867,INC-2026-02005,Residential,false,3.6
TCK-2026-04573,2026-01-06,2026-01,Medan,Cloud Connectivity,Router ONT Issue,Low,Closed,108,1067,,SMB,true,4.6
TCK-2026-04716,2026-01-06,2026-01,Balikpapan,Fiber Internet,Intermittent Connection,High,In Progress,17,,,Enterprise,false,
TCK-2026-05001,2026-01-06,2026-01,Semarang,Fiber Internet,Router ONT Issue,Low,Resolved,168,993,,SMB,false,3.9
TCK-2026-05298,2026-01-06,2026-01,Palembang,Fiber Internet,Internet Down,Low,Resolved,100,874,INC-2026-00825,SMB,false,4.0
TCK-2026-05377,2026-01-06,2026-01,Balikpapan,Mobile Broadband,Intermittent Connection,Low,Open,106,,,Enterprise,false,
TCK-2026-00238,2026-01-07,2026-01,Balikpapan,Cloud Connectivity,Router ONT Issue,Low,Resolved,143,952,INC-2026-01853,Residential,false,3.4
TCK-2026-00337,2026-01-07,2026-01,Semarang,Mobile Broadband,Installation Delay,Medium,Resolved,93,441,,Enterprise,false,3.8
TCK-2026-00795,2026-01-07,2026-01,Makassar,Fiber Internet,Enterprise SLA Complaint,Low,Resolved,133,918,,Residential,false,4.0
TCK-2026-01610,2026-01-07,2026-01,Denpasar,Cloud Connectivity,Internet Down,Critical,Resolved,4,65,,Residential,false,2.3
TCK-2026-02367,2026-01-07,2026-01,Semarang,Mobile Broadband,Slow Connection,Medium,Waiting Customer,76,,INC-2026-00390,Residential,false,
TCK-2026-02525,2026-01-07,2026-01,Jakarta,IPTV,Enterprise SLA Complaint,Medium,Waiting Customer,80,,INC-2026-00443,Residential,false,
TCK-2026-02986,2026-01-07,2026-01,Denpasar,Voice,Enterprise SLA Complaint,Low,Resolved,151,883,,SMB,false,3.6
TCK-2026-03265,2026-01-07,2026-01,Bandung,Voice,Slow Connection,Medium,Closed,87,367,,Enterprise,true,2.9
TCK-2026-03305,2026-01-07,2026-01,Makassar,Fiber Internet,Internet Down,Low,Closed,118,825,INC-2026-02126,Residential,false,4.3
TCK-2026-04489,2026-01-07,2026-01,Balikpapan,Cloud Connectivity,Slow Connection,Medium,Resolved,38,521,INC-2026-01853,SMB,false,3.8
TCK-2026-05038,2026-01-07,2026-01,Semarang,Enterprise VPN,Router ONT Issue,Low,Resolved,119,1105,,Residential,false,3.8
TCK-2026-00482,2026-01-08,2026-01,Semarang,Enterprise VPN,Router ONT Issue,High,Closed,27,233,,Residential,false,2.9
TCK-2026-00521,2026-01-08,2026-01,Balikpapan,Mobile Broadband,Internet Down,Medium,Closed,73,499,,SMB,false,4.6
TCK-2026-00745,2026-01-08,2026-01,Jakarta,Enterprise VPN,Internet Down,Low,Open,127,,,Residential,false,
TCK-2026-00941,2026-01-08,2026-01,Bandung,Enterprise VPN,Router ONT Issue,Medium,Resolved,85,512,INC-2026-00013,SMB,false,4.7
TCK-2026-01229,2026-01-08,2026-01,Medan,Fiber Internet,Router ONT Issue,Low,Resolved,118,797,,SMB,false,4.4
TCK-2026-01448,2026-01-08,2026-01,Bandung,IPTV,Slow Connection,High,Waiting Customer,24,,,Public Sector,false,
TCK-2026-01524,2026-01-08,2026-01,Jakarta,Voice,Internet Down,High,In Progress,44,,INC-2026-00922,Residential,false,
TCK-2026-01974,2026-01-08,2026-01,Bandung,Enterprise VPN,Slow Connection,Low,Resolved,96,1082,INC-2026-00013,Residential,false,4.3
TCK-2026-02677,2026-01-08,2026-01,Denpasar,Fiber Internet,Installation Delay,Medium,In Progress,61,,INC-2026-00952,Residential,false,
TCK-2026-02699,2026-01-08,2026-01,Denpasar,Fiber Internet,Installation Delay,High,Closed,12,153,INC-2026-00952,Residential,false,3.1
TCK-2026-03380,2026-01-08,2026-01,Makassar,IPTV,Enterprise SLA Complaint,Low,Closed,122,824,INC-2026-01524,SMB,false,4.5
TCK-2026-03406,2026-01-08,2026-01,Bandung,Mobile Broadband,Internet Down,Medium,In Progress,91,,,Residential,false,
TCK-2026-03458,2026-01-08,2026-01,Surabaya,Enterprise VPN,Billing Related,Low,In Progress,116,,,Residential,false,
TCK-2026-03640,2026-01-08,2026-01,Makassar,IPTV,Internet Down,Medium,Closed,81,534,INC-2026-01524,Enterprise,false,3.7
TCK-2026-04929,2026-01-08,2026-01,Makassar,IPTV,Slow Connection,Low,Open,160,,INC-2026-01524,Residential,false,
TCK-2026-00014,2026-01-09,2026-01,Denpasar,Cloud Connectivity,Installation Delay,Low,In Progress,133,,,SMB,false,
TCK-2026-00210,2026-01-09,2026-01,Medan,Fiber Internet,Router ONT Issue,Medium,Waiting Customer,59,,INC-2026-00649,Residential,false,
TCK-2026-00628,2026-01-09,2026-01,Medan,Fiber Internet,Enterprise SLA Complaint,Critical,Resolved,17,17,INC-2026-00649,Residential,false,5
TCK-2026-01104,2026-01-09,2026-01,Medan,Fiber Internet,Enterprise SLA Complaint,High,Resolved,30,304,INC-2026-00649,SMB,false,2.6
TCK-2026-01419,2026-01-09,2026-01,Makassar,Enterprise VPN,Billing Related,High,Resolved,48,330,,SMB,false,2.7
TCK-2026-03021,2026-01-09,2026-01,Palembang,Mobile Broadband,Installation Delay,High,Resolved,39,313,,Residential,false,3.1
TCK-2026-03567,2026-01-09,2026-01,Semarang,Cloud Connectivity,Installation Delay,Critical,Resolved,8,116,,Residential,true,3.6
TCK-2026-03631,2026-01-09,2026-01,Denpasar,Voice,Enterprise SLA Complaint,Medium,Resolved,93,438,,Residential,false,4.3
TCK-2026-04288,2026-01-09,2026-01,Makassar,Mobile Broadband,Enterprise SLA Complaint,Low,Closed,117,917,,Residential,false,4.6
TCK-2026-04610,2026-01-09,2026-01,Balikpapan,Cloud Connectivity,Installation Delay,Medium,Closed,70,493,,Enterprise,true,3.4
TCK-2026-00794,2026-01-10,2026-01,Jakarta,Voice,Billing Related,Medium,Resolved,25,592,,Enterprise,false,5
TCK-2026-01279,2026-01-10,2026-01,Jakarta,Fiber Internet,Intermittent Connection,Medium,Resolved,86,535,,Residential,false,5
TCK-2026-01832,2026-01-10,2026-01,Medan,Fiber Internet,Billing Related,Medium,Resolved,76,526,,SMB,false,4.7
TCK-2026-01850,2026-01-10,2026-01,Semarang,Voice,Billing Related,Low,Resolved,104,959,INC-2026-01705,Enterprise,false,3.7
TCK-2026-02425,2026-01-10,2026-01,Yogyakarta,Mobile Broadband,Billing Related,Critical,Open,7,,,Residential,true,
TCK-2026-03527,2026-01-10,2026-01,Medan,Fiber Internet,Billing Related,Medium,Open,51,,,Public Sector,false,
TCK-2026-03740,2026-01-10,2026-01,Medan,IPTV,Router ONT Issue,Low,Open,88,,,Enterprise,false,
TCK-2026-04020,2026-01-10,2026-01,Medan,Cloud Connectivity,Intermittent Connection,Medium,Resolved,85,455,INC-2026-00196,Residential,false,4.2
TCK-2026-04519,2026-01-10,2026-01,Surabaya,IPTV,Billing Related,Low,Resolved,130,838,,Residential,false,4.3
TCK-2026-04891,2026-01-10,2026-01,Medan,Cloud Connectivity,Enterprise SLA Complaint,High,Resolved,48,196,INC-2026-00196,SMB,false,3.7
TCK-2026-00188,2026-01-11,2026-01,Yogyakarta,Cloud Connectivity,Internet Down,Medium,Closed,38,397,,Residential,false,4.5
TCK-2026-00479,2026-01-11,2026-01,Denpasar,Fiber Internet,Router ONT Issue,High,Resolved,36,265,,Residential,false,2.7
TCK-2026-00989,2026-01-11,2026-01,Palembang,Cloud Connectivity,Slow Connection,Low,Resolved,127,852,,Enterprise,false,4.5
TCK-2026-01412,2026-01-11,2026-01,Palembang,Fiber Internet,Installation Delay,Medium,Closed,90,362,,SMB,false,3.6
TCK-2026-01821,2026-01-11,2026-01,Semarang,Voice,Enterprise SLA Complaint,Medium,Open,65,,INC-2026-00991,Residential,true,
TCK-2026-02247,2026-01-11,2026-01,Semarang,Voice,Enterprise SLA Complaint,Medium,Resolved,81,426,INC-2026-00991,Residential,false,4.0
TCK-2026-02366,2026-01-11,2026-01,Bandung,Voice,Installation Delay,High,Open,45,,INC-2026-01563,Residential,true,
TCK-2026-02868,2026-01-11,2026-01,Semarang,Voice,Slow Connection,Critical,Resolved,2,127,INC-2026-00991,Residential,false,4.1
TCK-2026-03010,2026-01-11,2026-01,Medan,Voice,Enterprise SLA Complaint,Medium,Closed,33,495,INC-2026-01227,Enterprise,false,3.5
TCK-2026-03102,2026-01-11,2026-01,Makassar,IPTV,Slow Connection,Medium,Closed,70,456,,Residential,false,4.1
TCK-2026-03728,2026-01-11,2026-01,Bandung,Voice,Billing Related,Medium,In Progress,38,,INC-2026-01563,Enterprise,false,
TCK-2026-05046,2026-01-11,2026-01,Makassar,IPTV,Slow Connection,High,Closed,25,178,,Residential,false,2.8
TCK-2026-05051,2026-01-11,2026-01,Balikpapan,Enterprise VPN,Intermittent Connection,High,In Progress,38,,,Enterprise,false,
TCK-2026-00753,2026-01-12,2026-01,Palembang,Cloud Connectivity,Router ONT Issue,Low,In Progress,119,,,Residential,true,
TCK-2026-00951,2026-01-12,2026-01,Yogyakarta,IPTV,Billing Related,High,Closed,36,342,INC-2026-00432,Residential,true,4.3
TCK-2026-01012,2026-01-12,2026-01,Surabaya,Cloud Connectivity,Billing Related,Medium,Resolved,44,508,INC-2026-00881,SMB,false,4.2
TCK-2026-01038,2026-01-12,2026-01,Medan,Voice,Slow Connection,Low,Resolved,116,879,,SMB,false,4.2
TCK-2026-02360,2026-01-12,2026-01,Balikpapan,Enterprise VPN,Intermittent Connection,High,In Progress,30,,INC-2026-00406,Enterprise,true,
TCK-2026-03493,2026-01-12,2026-01,Semarang,IPTV,Slow Connection,High,Resolved,38,249,,Residential,false,3.8
TCK-2026-03506,2026-01-12,2026-01,Jakarta,Mobile Broadband,Router ONT Issue,Critical,Open,2,,,Residential,false,
TCK-2026-03886,2026-01-12,2026-01,Yogyakarta,IPTV,Enterprise SLA Complaint,Critical,Open,10,,INC-2026-00432,Residential,false,
TCK-2026-03968,2026-01-12,2026-01,Bandung,IPTV,Enterprise SLA Complaint,High,Closed,32,238,,SMB,false,3.0
TCK-2026-05057,2026-01-12,2026-01,Balikpapan,Enterprise VPN,Router ONT Issue,Medium,Resolved,99,422,INC-2026-00406,Residential,false,3.8
TCK-2026-00093,2026-01-13,2026-01,Denpasar,Fiber Internet,Slow Connection,Critical,Open,19,,INC-2026-01716,Residential,false,
TCK-2026-00401,2026-01-13,2026-01,Palembang,Mobile Broadband,Internet Down,High,In Progress,21,,,SMB,true,
TCK-2026-01693,2026-01-13,2026-01,Surabaya,Voice,Router ONT Issue,Medium,Closed,70,507,,SMB,false,4.4
TCK-2026-01922,2026-01-13,2026-01,Palembang,Fiber Internet,Router ONT Issue,Medium,Open,76,,,Residential,false,
TCK-2026-02174,2026-01-13,2026-01,Balikpapan,Cloud Connectivity,Router ONT Issue,Medium,Resolved,48,602,,SMB,false,5
TCK-2026-02193,2026-01-13,2026-01,Balikpapan,Enterprise VPN,Billing Related,Low,In Progress,154,,INC-2026-00965,Enterprise,false,
TCK-2026-02218,2026-01-13,2026-01,Jakarta,Enterprise VPN,Internet Down,Low,Resolved,152,859,INC-2026-00321,Residential,false,5
TCK-2026-02567,2026-01-13,2026-01,Bandung,Mobile Broadband,Intermittent Connection,Low,Waiting Customer,136,,,Enterprise,false,
TCK-2026-02784,2026-01-13,2026-01,Bandung,IPTV,Internet Down,High,Closed,19,190,,Residential,false,3.5
TCK-2026-03280,2026-01-13,2026-01,Surabaya,Voice,Router ONT Issue,Medium,Resolved,57,564,INC-2026-00424,Residential,false,4.3
TCK-2026-03473,2026-01-13,2026-01,Surabaya,Voice,Slow Connection,Low,Resolved,115,864,INC-2026-00424,Enterprise,false,4.2
TCK-2026-03496,2026-01-13,2026-01,Surabaya,Voice,Billing Related,Critical,Resolved,15,191,INC-2026-00424,Residential,false,2.7
TCK-2026-03708,2026-01-13,2026-01,Yogyakarta,Fiber Internet,Installation Delay,Medium,Resolved,65,490,INC-2026-01569,Public Sector,false,3.9
TCK-2026-04073,2026-01-13,2026-01,Jakarta,Fiber Internet,Installation Delay,Medium,Resolved,108,455,INC-2026-00238,Residential,false,4.1
TCK-2026-04723,2026-01-13,2026-01,Makassar,Fiber Internet,Internet Down,Critical,Closed,2,57,,Enterprise,false,3.6
TCK-2026-05029,2026-01-13,2026-01,Medan,Mobile Broadband,Billing Related,High,Waiting Customer,43,,,Enterprise,false,
TCK-2026-00329,2026-01-14,2026-01,Makassar,Fiber Internet,Enterprise SLA Complaint,Low,Resolved,146,959,INC-2026-01757,Public Sector,false,3.3
TCK-2026-00718,2026-01-14,2026-01,Surabaya,Voice,Enterprise SLA Complaint,Medium,Waiting Customer,64,,,SMB,false,
TCK-2026-00827,2026-01-14,2026-01,Bandung,Mobile Broadband,Intermittent Connection,Low,Closed,128,906,INC-2026-00430,Residential,false,4.6
TCK-2026-00881,2026-01-14,2026-01,Palembang,Mobile Broadband,Billing Related,Medium,Closed,54,415,,SMB,true,3.1
TCK-2026-00909,2026-01-14,2026-01,Balikpapan,IPTV,Installation Delay,Low,Waiting Customer,126,,INC-2026-02098,Residential,false,
TCK-2026-01040,2026-01-14,2026-01,Balikpapan,Cloud Connectivity,Enterprise SLA Complaint,Medium,Resolved,80,496,,SMB,false,3.8
TCK-2026-01053,2026-01-14,2026-01,Makassar,IPTV,Intermittent Connection,Medium,Resolved,62,410,,Residential,false,5
TCK-2026-01277,2026-01-14,2026-01,Denpasar,Mobile Broadband,Billing Related,Medium,Resolved,74,457,,Enterprise,false,3.9
TCK-2026-01571,2026-01-14,2026-01,Denpasar,Fiber Internet,Billing Related,Low,Closed,154,763,,Enterprise,false,4.7
TCK-2026-01585,2026-01-14,2026-01,Balikpapan,Voice,Internet Down,Medium,Waiting Customer,75,,INC-2026-01496,Enterprise,true,
TCK-2026-02756,2026-01-14,2026-01,Bandung,Mobile Broadband,Billing Related,Low,Closed,163,956,INC-2026-00430,Residential,false,4.3
TCK-2026-03025,2026-01-14,2026-01,Semarang,Enterprise VPN,Intermittent Connection,Low,In Progress,100,,,Residential,false,
TCK-2026-03577,2026-01-14,2026-01,Makassar,Fiber Internet,Router ONT Issue,Medium,Resolved,39,346,INC-2026-01757,Residential,false,4.0
TCK-2026-03852,2026-01-14,2026-01,Balikpapan,Voice,Enterprise SLA Complaint,Low,Resolved,135,844,INC-2026-01496,Residential,false,4.1
TCK-2026-04055,2026-01-14,2026-01,Balikpapan,IPTV,Enterprise SLA Complaint,Low,Open,92,,INC-2026-02098,Residential,true,
TCK-2026-04196,2026-01-14,2026-01,Bandung,IPTV,Billing Related,Low,Waiting Customer,189,,,Residential,false,
TCK-2026-04572,2026-01-14,2026-01,Makassar,Fiber Internet,Router ONT Issue,Critical,Closed,15,150,INC-2026-01757,Residential,false,3.2
TCK-2026-04904,2026-01-14,2026-01,Balikpapan,Mobile Broadband,Installation Delay,Low,Resolved,86,817,INC-2026-02044,Residential,false,3.8
TCK-2026-05045,2026-01-14,2026-01,Surabaya,Voice,Installation Delay,Medium,Closed,100,504,,Residential,false,3.6
TCK-2026-05207,2026-01-14,2026-01,Medan,Voice,Slow Connection,High,Closed,48,268,,Residential,false,2.7
TCK-2026-00140,2026-01-15,2026-01,Yogyakarta,Mobile Broadband,Router ONT Issue,Medium,Closed,47,393,,Residential,false,4.7
TCK-2026-01092,2026-01-15,2026-01,Bandung,Fiber Internet,Intermittent Connection,Medium,Resolved,72,385,INC-2026-00419,Enterprise,false,4.5
TCK-2026-01752,2026-01-15,2026-01,Medan,Cloud Connectivity,Router ONT Issue,High,Resolved,14,324,INC-2026-00244,SMB,true,3.6
TCK-2026-01961,2026-01-15,2026-01,Palembang,IPTV,Router ONT Issue,Medium,Closed,100,554,,Enterprise,false,4.3
TCK-2026-02041,2026-01-15,2026-01,Palembang,Enterprise VPN,Intermittent Connection,Medium,Resolved,101,369,,Residential,false,4.2
TCK-2026-02285,2026-01-15,2026-01,Bandung,Fiber Internet,Enterprise SLA Complaint,Low,Resolved,98,761,INC-2026-00419,Residential,false,4.0
TCK-2026-02816,2026-01-15,2026-01,Semarang,Cloud Connectivity,Enterprise SLA Complaint,Medium,Resolved,86,471,,Residential,true,4.9
TCK-2026-02823,2026-01-15,2026-01,Balikpapan,Enterprise VPN,Intermittent Connection,Low,In Progress,132,,,SMB,false,
TCK-2026-03314,2026-01-15,2026-01,Surabaya,Fiber Internet,Slow Connection,High,Resolved,45,352,,Residential,false,3.8
TCK-2026-03443,2026-01-15,2026-01,Surabaya,Enterprise VPN,Slow Connection,Medium,Open,76,,,SMB,false,
TCK-2026-04329,2026-01-15,2026-01,Surabaya,Mobile Broadband,Slow Connection,High,Closed,46,293,,Enterprise,false,3.3
TCK-2026-04355,2026-01-15,2026-01,Medan,Enterprise VPN,Router ONT Issue,Medium,In Progress,73,,,Public Sector,false,
TCK-2026-04392,2026-01-15,2026-01,Balikpapan,Fiber Internet,Intermittent Connection,High,Closed,42,159,,Residential,false,2.8
TCK-2026-04901,2026-01-15,2026-01,Medan,Cloud Connectivity,Enterprise SLA Complaint,High,Waiting Customer,63,,INC-2026-00244,Residential,false,
TCK-2026-05022,2026-01-15,2026-01,Medan,Cloud Connectivity,Router ONT Issue,High,Resolved,14,178,INC-2026-00244,Residential,false,3.6
TCK-2026-00139,2026-01-16,2026-01,Yogyakarta,Mobile Broadband,Internet Down,Medium,Resolved,77,463,,Enterprise,false,3.3
