date,month,region,total_sites,active_incidents,critical_incidents,open_tickets,affected_customers,sla_achievement,avg_latency_ms,packet_loss_rate,technician_utilization,customer_satisfaction
2026-02-05,2026-02,Surabaya,25,1,0,18,0,99.244,46.37,1.061,59.56,4.58
2026-02-05,2026-02,Medan,25,2,0,18,765,98.802,33.7,0.418,67.38,3.91
2026-02-05,2026-02,Makassar,25,0,0,25,54,99.101,40.46,0.783,71.48,4.1
2026-02-05,2026-02,Semarang,25,2,0,21,248,98.43,29.67,0.616,70.56,3.98
2026-02-05,2026-02,Yogyakarta,25,2,0,17,0,98.17,38.4,0.504,71.6,3.95
2026-02-05,2026-02,Denpasar,25,1,0,19,0,98.183,23.34,0.617,60.0,4.05
2026-02-05,2026-02,Palembang,25,2,0,15,107,98.715,26.16,0.753,65.66,4.28
2026-02-05,2026-02,Balikpapan,25,0,0,22,164,98.544,37.1,0.01,68.25,3.73
2026-02-12,2026-02,Jakarta,25,2,0,24,0,98.782,47.79,0.881,62.5,4.18
2026-02-12,2026-02,Bandung,25,0,0,28,0,99.155,35.03,0.545,62.59,4.28
2026-02-12,2026-02,Surabaya,25,1,0,21,35,98.041,19.18,0.01,65.23,4.4
2026-02-12,2026-02,Medan,25,2,0,25,0,98.267,41.26,0.429,71.67,4.76
2026-02-12,2026-02,Makassar,25,0,0,27,0,98.482,52.56,0.782,66.09,4.28
2026-02-12,2026-02,Semarang,25,2,0,22,0,98.957,29.12,0.01,67.63,4.36
2026-02-12,2026-02,Yogyakarta,25,3,0,20,0,99.369,33.63,0.174,73.12,4.27
2026-02-12,2026-02,Denpasar,25,1,0,29,0,97.997,30.79,0.354,70.49,4.3
2026-02-12,2026-02,Palembang,25,3,0,21,0,99.417,25.09,0.791,79.87,3.61
2026-02-12,2026-02,Balikpapan,25,0,0,24,276,98.778,31.42,0.01,73.64,3.99
2026-02-19,2026-02,Jakarta,25,2,0,25,0,99.162,39.14,0.841,58.46,3.7
2026-02-19,2026-02,Bandung,25,1,0,32,0,98.46,22.47,0.583,77.61,4.31
2026-02-19,2026-02,Surabaya,25,1,0,25,0,99.184,31.8,1.229,60.49,4.47
2026-02-19,2026-02,Medan,25,2,0,28,0,98.398,47.44,0.436,62.27,4.52
2026-02-19,2026-02,Makassar,25,0,0,30,0,98.464,21.04,0.01,59.09,4.26
2026-02-19,2026-02,Semarang,25,2,0,29,123,99.29,36.01,0.882,66.78,3.85
2026-02-19,2026-02,Yogyakarta,25,3,0,25,511,99.179,45.59,0.602,89.44,4.88
2026-02-19,2026-02,Denpasar,25,2,0,29,0,99.149,36.31,0.927,70.87,4.26
2026-02-19,2026-02,Palembang,25,3,1,24,812,98.845,33.74,0.281,87.51,3.67
2026-02-19,2026-02,Balikpapan,25,2,0,27,0,98.684,30.21,0.863,64.64,4.15
2026-02-26,2026-02,Jakarta,25,2,0,29,132,98.65,24.08,1.002,63.08,4.24
2026-02-26,2026-02,Bandung,25,1,0,34,0,98.71,30.5,0.504,64.55,4.29
2026-02-26,2026-02,Surabaya,25,1,0,33,56,99.25,30.89,0.812,77.45,3.69
2026-02-26,2026-02,Medan,25,2,0,29,0,98.556,30.11,0.01,69.23,4.71
2026-02-26,2026-02,Makassar,25,1,0,36,0,98.801,39.96,0.248,68.57,3.91
2026-02-26,2026-02,Semarang,25,2,0,33,0,98.896,34.7,0.794,61.5,4.38
2026-02-26,2026-02,Yogyakarta,25,3,0,32,0,98.94,32.15,1.176,74.74,4.16
2026-02-26,2026-02,Denpasar,25,3,0,31,31,99.09,35.02,0.417,69.52,3.99
2026-02-26,2026-02,Palembang,25,3,0,29,147,98.675,51.16,0.01,72.57,4.76
2026-02-26,2026-02,Balikpapan,25,2,0,33,28,98.275,22.84,0.355,69.88,4.73
2026-03-05,2026-03,Jakarta,25,2,0,31,0,99.027,39.19,1.107,70.14,3.84
2026-03-05,2026-03,Bandung,25,1,0,37,0,98.929,19.41,0.261,74.22,4.25
2026-03-05,2026-03,Surabaya,25,2,0,36,0,98.032,33.84,0.01,60.67,3.89
2026-03-05,2026-03,Medan,25,2,0,33,0,97.225,12.35,0.119,72.1,4.33
2026-03-05,2026-03,Makassar,25,1,0,44,0,99.522,40.19,1.018,67.28,3.42
2026-03-05,2026-03,Semarang,25,3,0,40,0,99.101,41.05,0.882,78.02,4.8
2026-03-05,2026-03,Yogyakarta,25,3,0,35,0,98.326,31.14,0.01,61.26,5
2026-03-05,2026-03,Denpasar,25,4,0,37,616,98.685,37.9,0.678,73.54,4.74
2026-03-05,2026-03,Palembang,25,4,0,32,0,98.779,41.36,0.581,73.8,3.74
2026-03-05,2026-03,Balikpapan,25,3,0,36,25,98.596,27.51,1.054,65.12,4.48
2026-03-12,2026-03,Jakarta,25,2,0,35,0,95.711,78.61,2.523,81.93,3.42
2026-03-12,2026-03,Bandung,25,1,0,40,0,99.441,36.02,0.491,68.18,4.12
2026-03-12,2026-03,Surabaya,25,3,0,43,20,99.099,33.96,0.29,73.76,4.29
2026-03-12,2026-03,Medan,25,2,0,35,72,99.032,39.61,0.226,67.63,3.77
2026-03-12,2026-03,Makassar,25,1,0,48,33,98.101,29.2,0.566,68.1,4.29
2026-03-12,2026-03,Semarang,25,4,0,47,56,98.57,16.64,0.332,68.57,3.56
2026-03-12,2026-03,Yogyakarta,25,4,1,42,565,98.922,40.17,0.511,65.52,4.19
2026-03-12,2026-03,Denpasar,25,4,0,42,0,98.106,35.35,0.34,76.79,4.55
2026-03-12,2026-03,Palembang,25,4,0,36,0,98.522,31.58,0.353,62.27,4.45
2026-03-12,2026-03,Balikpapan,25,4,0,38,32,98.482,37.3,0.803,75.54,3.9
2026-03-19,2026-03,Jakarta,25,4,0,41,0,97.213,82.29,2.755,78.28,3.32
2026-03-19,2026-03,Bandung,25,1,0,42,0,98.581,42.63,0.416,62.91,4.38
2026-03-19,2026-03,Surabaya,25,4,0,47,160,99.721,23.42,0.629,73.87,3.77
2026-03-19,2026-03,Medan,25,2,0,41,131,98.518,26.24,0.423,69.63,3.79
2026-03-19,2026-03,Makassar,25,1,0,52,0,97.79,25.89,0.115,71.6,3.95
2026-03-19,2026-03,Semarang,25,5,0,52,0,99.257,32.01,0.419,80.79,4.82
2026-03-19,2026-03,Yogyakarta,25,4,0,45,0,98.72,49.8,1.053,63.91,4.94
2026-03-19,2026-03,Denpasar,25,5,0,48,435,98.927,38.91,0.451,62.08,4.53
2026-03-19,2026-03,Palembang,25,4,0,44,0,98.143,38.18,0.261,70.33,4.21
2026-03-19,2026-03,Balikpapan,25,4,0,41,79,98.128,17.12,1.107,57.02,4.11
2026-03-26,2026-03,Jakarta,25,4,0,44,51,96.006,84.47,2.182,87.54,3.26
2026-03-26,2026-03,Bandung,25,1,0,45,0,99.071,22.92,1.134,63.44,4.37
2026-03-26,2026-03,Surabaya,25,4,0,50,522,98.553,28.14,0.616,68.88,3.92
2026-03-26,2026-03,Medan,25,2,0,45,17,98.901,44.81,1.125,71.96,4.04
2026-03-26,2026-03,Makassar,25,1,0,59,101,98.689,45.87,0.237,69.94,3.81
2026-03-26,2026-03,Semarang,25,5,0,55,0,98.768,19.06,0.682,60.35,3.73
2026-03-26,2026-03,Yogyakarta,25,4,0,49,455,99.212,31.34,0.01,64.52,3.81
2026-03-26,2026-03,Denpasar,25,6,0,54,0,98.642,29.82,0.578,69.98,4.25
2026-03-26,2026-03,Palembang,25,5,0,46,0,99.569,30.23,1.168,71.81,4.07
2026-03-26,2026-03,Balikpapan,25,5,0,44,167,99.361,24.91,1.046,68.04,4.84
2026-04-02,2026-04,Jakarta,25,4,0,45,163,98.946,32.85,0.543,70.31,4.06
2026-04-02,2026-04,Bandung,25,1,0,50,0,98.506,24.56,0.441,81.01,4.19
2026-04-02,2026-04,Surabaya,25,4,0,54,37,98.106,50.45,0.01,73.0,4.12
2026-04-02,2026-04,Medan,25,2,0,49,0,98.833,32.14,0.384,66.17,3.67
2026-04-02,2026-04,Makassar,25,1,0,63,129,98.658,33.82,0.386,70.41,4.23
2026-04-02,2026-04,Semarang,25,5,0,59,498,98.423,24.58,0.44,72.42,4.42
2026-04-02,2026-04,Yogyakarta,25,4,0,53,66,97.786,34.61,0.318,71.08,3.51
2026-04-02,2026-04,Denpasar,25,7,0,65,32,97.902,52.65,0.685,72.84,4.84
2026-04-02,2026-04,Palembang,25,6,0,49,0,98.586,24.77,0.01,67.55,4.16
2026-04-02,2026-04,Balikpapan,25,5,0,48,0,98.493,16.38,0.48,68.8,4.95
2026-04-09,2026-04,Jakarta,25,4,0,54,79,98.935,36.39,0.491,69.83,4.43
2026-04-09,2026-04,Bandung,25,1,0,57,0,98.71,35.02,0.915,67.68,4.25
2026-04-09,2026-04,Surabaya,25,4,0,56,243,98.409,32.39,0.317,80.01,3.89
2026-04-09,2026-04,Medan,25,3,0,52,0,98.155,30.44,0.761,75.76,4.2
2026-04-09,2026-04,Makassar,25,1,0,67,0,98.204,29.7,0.952,66.79,4.03
2026-04-09,2026-04,Semarang,25,5,0,59,0,98.569,46.18,0.742,79.68,3.62
2026-04-09,2026-04,Yogyakarta,25,4,0,56,0,98.622,43.88,0.443,68.25,4.48
2026-04-09,2026-04,Denpasar,25,7,0,69,57,98.932,19.53,0.384,69.21,3.95
2026-04-09,2026-04,Palembang,25,6,0,54,0,98.045,30.79,0.167,79.39,4.4
2026-04-09,2026-04,Balikpapan,25,5,0,52,106,98.917,47.64,0.917,63.72,4.12
2026-04-16,2026-04,Jakarta,25,4,0,61,43,98.787,36.63,0.698,67.06,4.4
2026-04-16,2026-04,Bandung,25,1,0,60,63,98.748,33.23,0.344,55.76,4.14
2026-04-16,2026-04,Surabaya,25,4,0,63,134,97.458,36.82,0.01,52.57,3.9
2026-04-16,2026-04,Medan,25,4,0,53,0,98.841,41.19,0.165,77.46,4.99
2026-04-16,2026-04,Makassar,25,1,0,68,41,98.046,27.13,0.364,77.15,4.13
2026-04-16,2026-04,Semarang,25,6,0,65,20,98.696,18.34,0.447,69.73,3.45
2026-04-16,2026-04,Yogyakarta,25,4,0,56,0,98.95,26.83,0.633,59.95,4.14
2026-04-16,2026-04,Denpasar,25,8,0,72,156,98.43,30.12,0.434,76.31,4.14
2026-04-16,2026-04,Palembang,25,6,0,57,0,98.583,52.09,0.01,76.26,4.11
2026-04-16,2026-04,Balikpapan,25,6,0,56,81,99.225,25.88,1.064,69.54,3.7
2026-04-23,2026-04,Jakarta,25,5,0,65,0,99.09,28.07,0.292,74.13,4.74
2026-04-23,2026-04,Bandung,25,1,0,67,0,98.416,41.9,0.763,70.44,4.69
2026-04-23,2026-04,Surabaya,25,4,0,68,211,98.754,21.16,0.794,72.38,4.29
2026-04-23,2026-04,Medan,25,4,0,61,405,98.396,44.79,0.63,67.02,3.87
2026-04-23,2026-04,Makassar,25,2,0,73,0,98.394,29.64,0.01,64.7,4.29
2026-04-23,2026-04,Semarang,25,6,0,71,0,98.118,26.31,0.512,63.95,4.26
2026-04-23,2026-04,Yogyakarta,25,4,0,60,28,98.56,46.47,1.257,73.45,3.78
2026-04-23,2026-04,Denpasar,25,8,1,76,1350,98.187,26.23,0.01,69.24,4.06
2026-04-23,2026-04,Palembang,25,6,0,59,0,97.692,25.37,0.807,73.1,3.97
2026-04-23,2026-04,Balikpapan,25,6,0,61,0,98.798,22.25,0.546,74.2,3.8
2026-04-30,2026-04,Jakarta,25,5,0,68,0,98.281,25.02,0.345,79.83,4.13
2026-04-30,2026-04,Bandung,25,1,0,69,0,98.927,32.31,0.052,67.66,4.43
2026-04-30,2026-04,Surabaya,25,4,1,72,889,98.342,48.41,0.167,58.05,4.02
2026-04-30,2026-04,Medan,25,4,0,65,306,98.843,20.47,0.259,73.43,4.42
2026-04-30,2026-04,Makassar,25,2,0,74,0,98.557,30.33,0.08,65.35,3.9
2026-04-30,2026-04,Semarang,25,6,0,74,64,99.42,25.38,0.112,72.25,3.83
2026-04-30,2026-04,Yogyakarta,25,4,0,61,142,98.946,29.97,0.755,66.65,3.99
2026-04-30,2026-04,Denpasar,25,8,1,78,1037,97.912,31.89,0.308,76.31,3.78
2026-04-30,2026-04,Palembang,25,6,0,61,0,98.804,33.85,0.419,66.31,4.06
2026-04-30,2026-04,Balikpapan,25,6,0,64,0,99.32,28.71,0.758,63.45,4.09
2026-05-07,2026-05,Jakarta,25,5,0,71,64,98.201,29.83,0.639,70.58,4.14
2026-05-07,2026-05,Bandung,25,1,0,71,0,98.637,36.16,0.953,73.43,3.92
2026-05-07,2026-05,Surabaya,25,4,0,76,0,95.926,78.17,2.737,82.52,3.43
2026-05-07,2026-05,Medan,25,4,0,70,485,97.729,30.53,1.157,77.61,3.93
2026-05-07,2026-05,Makassar,25,3,0,82,39,98.772,45.02,0.756,70.24,4.19
2026-05-07,2026-05,Semarang,25,6,0,80,257,99.8,20.1,0.714,71.82,4.65
2026-05-07,2026-05,Yogyakarta,25,4,0,62,0,98.992,28.38,0.112,62.99,4.66
2026-05-07,2026-05,Denpasar,25,9,0,80,0,98.95,25.89,0.595,59.62,4.02
2026-05-07,2026-05,Palembang,25,6,0,63,0,98.868,29.7,0.198,66.19,3.77
2026-05-07,2026-05,Balikpapan,25,7,0,69,141,99.418,21.98,0.282,74.12,4.3
2026-05-14,2026-05,Jakarta,25,5,0,78,104,99.586,24.25,0.574,67.52,4.41
2026-05-14,2026-05,Bandung,25,1,0,77,29,99.8,42.71,0.504,72.28,4.61
2026-05-14,2026-05,Surabaya,25,4,0,80,0,95.735,82.39,2.186,83.22,3.75
2026-05-14,2026-05,Medan,25,4,0,77,190,98.551,19.64,0.668,75.37,4.16
2026-05-14,2026-05,Makassar,25,3,0,87,0,98.67,25.22,0.01,60.34,4.07
2026-05-14,2026-05,Semarang,25,7,0,84,216,99.036,43.74,0.438,75.67,3.91
2026-05-14,2026-05,Yogyakarta,25,4,0,67,121,98.181,12.2,0.437,51.33,4.51
2026-05-14,2026-05,Denpasar,25,9,0,86,182,99.068,36.32,0.551,54.86,3.9
2026-05-14,2026-05,Palembang,25,6,0,65,0,98.866,29.58,0.799,75.35,3.74
2026-05-14,2026-05,Balikpapan,25,7,0,74,589,98.431,24.28,0.01,71.58,4.21
2026-05-21,2026-05,Jakarta,25,5,0,84,0,99.547,24.41,0.554,66.67,4.57
2026-05-21,2026-05,Bandung,25,1,0,79,0,97.779,21.61,0.989,61.24,3.94
2026-05-21,2026-05,Surabaya,25,4,0,83,0,95.576,69.25,2.735,94.07,2.93
2026-05-21,2026-05,Medan,25,4,0,82,0,98.753,26.78,0.305,62.53,4.27
2026-05-21,2026-05,Makassar,25,6,0,97,157,97.986,31.41,0.976,65.37,3.87
2026-05-21,2026-05,Semarang,25,7,0,92,405,99.17,42.1,1.148,69.69,3.67
2026-05-21,2026-05,Yogyakarta,25,4,0,74,0,99.072,31.7,0.485,70.4,4.45
2026-05-21,2026-05,Denpasar,25,10,0,90,789,99.054,32.86,1.075,64.31,3.6
2026-05-21,2026-05,Palembang,25,7,0,70,0,98.366,27.99,1.101,62.98,3.98
2026-05-21,2026-05,Balikpapan,25,7,0,79,441,98.372,30.43,0.01,73.26,4.54
2026-05-28,2026-05,Jakarta,25,5,0,90,39,98.984,48.39,0.205,67.97,4.43
2026-05-28,2026-05,Bandung,25,1,0,82,0,98.952,46.61,0.212,77.39,4.08
2026-05-28,2026-05,Surabaya,25,4,0,86,301,99.489,26.61,1.299,68.96,4.34
2026-05-28,2026-05,Medan,25,4,0,84,0,98.921,21.12,0.786,68.58,4.19
2026-05-28,2026-05,Makassar,25,6,0,98,77,99.169,32.13,0.489,70.2,3.98
2026-05-28,2026-05,Semarang,25,8,0,95,18,99.67,27.39,0.462,70.64,4.15
2026-05-28,2026-05,Yogyakarta,25,4,0,75,195,97.874,37.16,0.896,57.34,4.17
2026-05-28,2026-05,Denpasar,25,11,0,95,908,98.885,27.94,0.855,60.98,4.0
2026-05-28,2026-05,Palembang,25,7,0,71,0,99.211,44.25,0.453,67.5,3.18
2026-05-28,2026-05,Balikpapan,25,7,0,81,44,98.19,29.52,0.314,63.67,4.29
2026-06-04,2026-06,Jakarta,25,5,0,92,0,98.462,24.4,0.357,65.97,4.41
2026-06-04,2026-06,Bandung,25,1,0,85,106,98.353,32.11,0.307,61.24,4.47
2026-06-04,2026-06,Surabaya,25,4,0,88,0,98.537,24.63,0.84,64.2,4.12
2026-06-04,2026-06,Medan,25,5,0,91,0,98.232,41.69,0.584,72.45,4.15
2026-06-04,2026-06,Makassar,25,7,0,98,22,98.761,38.14,0.084,72.76,4.45
2026-06-04,2026-06,Semarang,25,8,0,96,0,98.475,43.1,0.835,66.75,3.07
2026-06-04,2026-06,Yogyakarta,25,5,0,81,151,98.056,8.0,0.83,79.26,4.36
2026-06-04,2026-06,Denpasar,25,11,0,98,18,98.209,33.18,0.646,72.8,4.21
2026-06-04,2026-06,Palembang,25,7,0,75,80,98.309,29.3,0.959,62.11,3.94
2026-06-04,2026-06,Balikpapan,25,7,0,82,72,98.963,39.58,0.375,66.78,4.0
2026-06-11,2026-06,Jakarta,25,7,0,96,0,99.526,21.96,0.563,67.49,4.54
2026-06-11,2026-06,Bandung,25,1,0,92,0,98.272,22.22,0.375,60.84,3.65
2026-06-11,2026-06,Surabaya,25,4,0,91,32,98.782,34.06,0.652,73.39,3.43
2026-06-11,2026-06,Medan,25,5,0,99,0,99.026,38.42,0.59,81.42,3.75
2026-06-11,2026-06,Makassar,25,7,0,104,0,99.031,17.84,0.349,74.98,3.75
2026-06-11,2026-06,Semarang,25,9,0,100,47,99.019,45.23,0.344,66.78,4.22
2026-06-11,2026-06,Yogyakarta,25,5,0,83,0,98.337,40.82,0.679,70.57,3.77
2026-06-11,2026-06,Denpasar,25,11,0,100,0,99.035,21.14,0.652,53.54,4.36
2026-06-11,2026-06,Palembang,25,7,0,84,566,98.528,33.84,0.01,78.21,3.85
2026-06-11,2026-06,Balikpapan,25,7,0,85,0,98.735,21.6,1.025,74.71,4.14
2026-06-18,2026-06,Jakarta,25,8,0,98,0,98.357,35.67,0.777,64.68,4.1
2026-06-18,2026-06,Bandung,25,1,0,93,93,98.527,40.09,0.01,64.26,4.52
2026-06-18,2026-06,Surabaya,25,6,0,95,0,98.218,47.91,1.034,56.62,4.04
2026-06-18,2026-06,Medan,25,5,0,102,0,99.619,28.15,0.356,68.95,3.73
2026-06-18,2026-06,Makassar,25,7,0,107,0,98.68,34.32,0.659,60.63,4.55
2026-06-18,2026-06,Semarang,25,9,0,101,0,98.098,18.68,0.691,76.78,4.66
2026-06-18,2026-06,Yogyakarta,25,5,0,86,0,98.474,32.19,0.423,70.57,4.59
2026-06-18,2026-06,Denpasar,25,11,0,102,0,98.614,37.28,0.837,73.44,3.5
2026-06-18,2026-06,Palembang,25,7,0,88,0,98.896,38.89,0.474,62.25,4.07
2026-06-18,2026-06,Balikpapan,25,7,0,88,0,98.539,42.11,0.704,63.96,3.83
2026-06-25,2026-06,Jakarta,25,8,1,98,924,98.368,16.15,0.476,77.58,4.01
2026-06-25,2026-06,Bandung,25,1,0,99,6,98.995,34.52,0.01,67.68,4.4
2026-06-25,2026-06,Surabaya,25,6,0,97,0,99.254,34.33,0.909,64.49,3.87
2026-06-25,2026-06,Medan,25,5,0,106,0,98.543,21.18,0.632,73.32,3.75
2026-06-25,2026-06,Makassar,25,8,0,111,561,98.711,40.28,0.384,63.68,3.97
2026-06-25,2026-06,Semarang,25,9,0,103,0,98.331,30.17,0.683,67.66,4.16
2026-06-25,2026-06,Yogyakarta,25,5,1,90,912,99.219,32.92,0.769,53.31,3.91
2026-06-25,2026-06,Denpasar,25,11,0,106,0,99.024,32.78,0.387,66.13,3.82
2026-06-25,2026-06,Palembang,25,8,0,94,320,98.371,19.26,0.568,69.78,4.43
2026-06-25,2026-06,Balikpapan,25,7,0,91,426,99.171,25.93,0.156,71.85,4.68
2026-07-02,2026-07,Jakarta,25,8,0,101,0,98.205,26.14,0.859,62.01,4.05
2026-07-02,2026-07,Bandung,25,1,0,101,0,98.918,31.65,0.411,76.03,3.97
2026-07-02,2026-07,Surabaya,25,6,0,101,94,98.727,40.64,0.863,80.78,3.95
2026-07-02,2026-07,Medan,25,5,0,116,946,98.98,42.28,0.301,71.74,3.94
2026-07-02,2026-07,Makassar,25,9,0,116,0,99.139,38.79,0.829,78.24,3.8
2026-07-02,2026-07,Semarang,25,9,0,105,0,99.021,25.32,0.494,70.67,3.95
2026-07-02,2026-07,Yogyakarta,25,5,0,94,2,99.247,28.96,0.656,82.05,4.09
2026-07-02,2026-07,Denpasar,25,11,0,111,0,99.028,35.92,0.38,79.74,4.17
2026-07-02,2026-07,Palembang,25,8,0,100,193,98.637,39.99,0.522,63.79,3.7
2026-07-02,2026-07,Balikpapan,25,7,0,91,0,98.568,40.5,1.174,74.99,4.02
2026-07-09,2026-07,Jakarta,25,8,0,105,230,98.504,31.25,0.714,69.15,3.98
2026-07-09,2026-07,Bandung,25,2,0,101,0,99.42,33.13,0.273,73.44,4.39
2026-07-09,2026-07,Surabaya,25,8,0,107,98,99.24,28.48,1.313,59.06,4.13
2026-07-09,2026-07,Medan,25,5,0,123,470,96.091,64.31,2.177,89.04,3.71
2026-07-09,2026-07,Makassar,25,9,0,122,0,98.225,20.12,0.227,64.08,4.15
2026-07-09,2026-07,Semarang,25,9,0,108,179,98.67,25.36,0.01,98,4.51
2026-07-09,2026-07,Yogyakarta,25,5,0,101,0,98.783,34.55,0.736,60.33,4.23
2026-07-09,2026-07,Denpasar,25,11,0,113,0,99.152,44.24,0.166,70.45,3.66
2026-07-09,2026-07,Palembang,25,8,0,104,85,97.784,42.87,0.747,72.18,4.32
2026-07-09,2026-07,Balikpapan,25,7,0,96,0,97.675,38.27,0.815,79.09,4.11
2026-07-16,2026-07,Jakarta,25,8,0,107,0,98.662,31.96,0.704,65.0,3.81
2026-07-16,2026-07,Bandung,25,2,0,102,0,98.524,37.77,0.976,60.49,4.24
2026-07-16,2026-07,Surabaya,25,8,0,111,0,99.166,31.53,0.321,65.94,3.74
2026-07-16,2026-07,Medan,25,5,0,125,0,96.002,58.39,2.166,85.75,3.32
2026-07-16,2026-07,Makassar,25,9,0,125,0,99.361,33.91,0.969,81.45,4.59
2026-07-16,2026-07,Semarang,25,9,0,108,0,98.074,28.11,0.439,75.01,3.96
2026-07-16,2026-07,Yogyakarta,25,5,0,106,0,98.049,39.02,0.864,66.33,3.85
2026-07-16,2026-07,Denpasar,25,12,0,113,0,98.755,25.98,0.537,70.48,4.45
2026-07-16,2026-07,Palembang,25,8,0,108,0,98.554,18.11,0.134,64.01,4.07
2026-07-16,2026-07,Balikpapan,25,7,0,98,390,99.29,51.66,0.999,63.73,4.48
